_address	deviceId	name	description	unit	type	len	factor	offset	formula	role	room	cw	isScale
4999	1	Device type  code	Geräte Typ-Code		int8be	1	1	0		value		false	false
5000	1	Nominal Output Power	Installierte Leistung	Kw	uint16be	1	0.1	0		value		false	false
5002	1	Daily  Output Energy	Eigene Energienutzung heute (PV & Akku)	Kwh	uint16be	1	0.1	0		value		false	false
5003	1	Total Output Energy	Eigene Energienutzung gesamt (PV & Akku)	Kwh	uint32sw	2	0.1	0		value		false	false
5007	1	Inside  Temperature	Temperatur im Wechselrichter	°C	int16be	1	0.1	0		value		false	false
5010	1	MPPT 1 Voltage	MPPT1 Spannung	V	uint16be	1	0.1	0		value		false	false
5011	1	MPPT 1 Current	MPPT1 Strom	A	uint16be	1	0.1	0		value		false	false
5012	1	MPPT 2 Voltage	MPPT2 Spannung	V	uint16be	1	0.1	0		value		false	false
5013	1	MPPT 2 Current	MPPT2 Strom	A	uint16be	1	0.1	0		value		false	false
5016	1	Total DC Power	PV-Leistung aktuell	W	uint32sw	2	1	0		value		false	false
5018	1	Spannung Ph A	Spannung Phase A	V	uint16be	1	0.1	0		value		false	false
5019	1	Spannung Ph B	Spannung Phase B	V	uint16be	1	0.1	0		value		false	false
5020	1	Spannung Ph C	Spannung Phase C	V	uint16be	1	0.1	0		value		false	false
5032	1	Reactive Power	Blindleistung	VA®	int32sw	2		0		value		false	false
5034	1	Power Factor	Leistungsfaktor		int16be	1	0.001	0		value		false	false
5035	1	Grid Frequency	Netzfrequenz	Hz	uint16be	1	0.1	0		value		false	false
5600	1	Gesamtleistung DTSU666	Leistung	W	int32sw	2	1	0		value		false	false
5602	1	L1 Leistung DTSU666	Leistung L1	W	int32sw	2	1	0		value		false	false
5604	1	L2 Leistung DTSU666	Leistung L2	W	int32sw	2	1	0		value		false	false
5606	1	L3 Leistung DTSU666	Leistung L3	W	int32sw	2	1	0		value		false	false
5740	1	PhaseA Voltage DTSU666	Spannung Phase1	V	uint16be	1	0.1	0		value		false	false
5741	1	PhaseB Voltage DTSU666	Spannung Phase2	V	uint16be	1	0.1	0		value		false	false
5742	1	PhaseC Voltage DTSU666	Spannung Phase3	V	uint16be	1	0.1	0		value		false	false
5743	1	PhaseA Current DTSU666	Strom Phase1	A	uint16be	1	0.01	0		value		false	false
5744	1	PhaseB Current DTSU666	Strom Phase2	A	uint16be	1	0.01	0		value		false	false
5745	1	PhaseC Current DTSU666	Strom Phase3	A	uint16be	1	0.01	0		value		false	false
5746	1	Import DTSU666	Import	kWh	uint32sw	2	0.01	0		value		false	false
5748	1	Export DTSU666	Export	kWh	uint32sw	2	0.01	0		value		false	false
6226	1	Monthly PV energy yields January	 Monatlicher PV Energieertrag  Januar	Kwh	uint16be	1	0.1	0		value		false	false
6227	1	Monthly PV energy yields February	 Monatlicher PV Energieertrag Februar	Kwh	uint16be	1	0.1	0		value		false	false
6228	1	Monthly PV energy yields March	 Monatlicher PV Energieertrag März	Kwh	uint16be	1	0.1	0		value		false	false
6229	1	Monthly PV energy yields April	 Monatlicher PV Energieertrag April	Kwh	uint16be	1	0.1	0		value		false	false
6230	1	Monthly PV energy yields May	 Monatlicher PV Energieertrag Mai	Kwh	uint16be	1	0.1	0		value		false	false
6231	1	Monthly PV energy yields June	 Monatlicher PV Energieertrag Juni	Kwh	uint16be	1	0.1	0		value		false	false
6232	1	Monthly PV energy yields July	 Monatlicher PV Energieertrag Juli	Kwh	uint16be	1	0.1	0		value		false	false
6233	1	Monthly PV energy yields August	 Monatlicher PV Energieertrag August	Kwh	uint16be	1	0.1	0		value		false	false
6234	1	Monthly PV energy yields September	 Monatlicher PV Energieertrag September	Kwh	uint16be	1	0.1	0		value		false	false
6235	1	Monthly PV energy yields October	 Monatlicher PV Energieertrag Oktober	Kwh	uint16be	1	0.1	0		value		false	false
6236	1	Monthly PV energy yields November	 Monatlicher PV Energieertrag November	Kwh	uint16be	1	0.1	0		value		false	false
6237	1	Monthly PV energy yields December	 Monatlicher PV Energieertrag Dezember	Kwh	uint16be	1	0.1	0		value		false	false
6416	1	Monthly direct energy consumption from PVJanuary	Monatlicher Energieverbrauch von PV-Anlage im Januar	Kwh	uint16be	1	0.1	0		value		false	false
6417	1	Monthly direct energy consumption from PV February	Monatlicher Energieverbrauch von PV-Anlage im Februar	Kwh	uint16be	1	0.1	0		value		false	false
6418	1	Monthly direct energy consumption from PV March	Monatlicher Energieverbrauch von PV-Anlage im März	Kwh	uint16be	1	0.1	0		value		false	false
6419	1	Monthly direct energy consumption from PV April	Monatlicher Energieverbrauch von PV-Anlage im April	Kwh	uint16be	1	0.1	0		value		false	false
6420	1	Monthly direct energy consumption from PV May	Monatlicher Energieverbrauch von PV-Anlage im Mai	Kwh	uint16be	1	0.1	0		value		false	false
6421	1	Monthly direct energy consumption from PV June	Monatlicher Energieverbrauch von PV-Anlage im Juni	Kwh	uint16be	1	0.1	0		value		false	false
6422	1	Monthly direct energy consumption from PV July	Monatlicher Energieverbrauch von PV-Anlage im Juli	Kwh	uint16be	1	0.1	0		value		false	false
6423	1	Monthly direct energy consumption from PV August	Monatlicher Energieverbrauch von PV-Anlage im August	Kwh	uint16be	1	0.1	0		value		false	false
6424	1	Monthly direct energy consumption from PV Septemper	Monatlicher Energieverbrauch von PV-Anlage im September	Kwh	uint16be	1	0.1	0		value		false	false
6425	1	Monthly direct energy consumption from PV October	Monatlicher Energieverbrauch von PV-Anlage im Oktober	Kwh	uint16be	1	0.1	0		value		false	false
6426	1	Monthly direct energy consumption from PV November	Monatlicher Energieverbrauch von PV-Anlage im November	Kwh	uint16be	1	0.1	0		value		false	false
